"start";"end";"today";"username";"deviceid";"intervencion_id";"Tipo_carta";"id_operador";"ID_Carta";"Agencias_rda";"geo_ref_RDA";"_geo_ref_RDA_latitude";"_geo_ref_RDA_longitude";"_geo_ref_RDA_altitude";"_geo_ref_RDA_precision";"Punto_1";"Punto_4";"Punto_7";"__version__";"cartas_asociadas";"seguimiento_rda";"Enc_reactiva_1";"Enc_reactiva_1a";"Enc_reactiva_2";"Enc_reactiva_3";"Enc_reactiva_4";"Enc_reactiva_5";"Enc_reactiva_6";"op_frio_1";"Punto_2";"Punto_3";"Punto_5";"Punto_6";"_index"
"2024-08-08T17:20:05.107-03:00";"2024-08-08T17:23:47.110-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"e505c72a";"1";"113";"1106024";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"saenz_pena_luis_pres";"769";"constitucion";"1";"1";"";"";"2";"1";"1";"2";"2";"52"
"2024-08-08T17:23:47.425-03:00";"2024-08-08T17:25:32.423-03:00";"2024-08-08";"bjordan";"collect:Kq8RDKFnBtyQG7Nd";"d7b02817";"1";"194";"1105850";"1";"";"";"";"";"";"";"";"";"";"";"";"roosevelt_franklin_d";"2454";"";"99";"3";"2";"2";"";"";"";"";"";"53"
"2024-08-08T17:25:48.941-03:00";"2024-08-08T17:28:20.936-03:00";"2024-08-08";"bjordan";"collect:Kq8RDKFnBtyQG7Nd";"34da1188";"1";"194";"1105851";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"sucre_antonio_jose_de_mcal";"0";"belgrano";"13";"2";"";"";"2";"1";"2";"2";"2";"54"
"2024-08-08T17:29:51.670-03:00";"2024-08-08T17:31:40.795-03:00";"2024-08-08";"dsalazar";"collect:zlst1IxMGpUv8iis";"c1d68e77";"1";"256";"1105856";"1";"";"";"";"";"";"";"";"";"";"";"";"santiago_del_estero";"1327";"constitucion";"1";"3";"2";"1";"";"";"";"";"";"55"
"2024-08-08T17:30:59.526-03:00";"2024-08-08T17:32:26.802-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"9b4ec2d5";"1";"101";"1105949";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"tucuman";"688";"san_nicolas";"1";"1";"";"";"2";"1";"2";"2";"2";"56"
"2024-08-08T17:35:17.781-03:00";"2024-08-08T17:37:19.098-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"a896b9cb";"1";"133";"1105773";"1";"";"";"";"";"";"";"";"";"";"";"";"pena";"2267";"";"2";"3";"2";"2";"";"";"";"";"";"57"
"2024-08-08T17:44:20.484-03:00";"2024-08-08T17:47:29.155-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"8d4b7339";"1";"113";"1106053";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"sarandi";"446";"constitucion";"1";"1";"";"";"2";"1";"2";"2";"2";"58"
"2024-08-08T14:30:26.036-03:00";"2024-08-08T17:48:02.781-03:00";"2024-08-08";"rmeoniz";"collect:As46bOaSjhgq0UrC";"d233d278";"1";"215";"1105807";"3";"";"";"";"";"";"";"";"";"";"";"";"las_heras_general_av";"2195";"recoleta";"2";"1";"";"";"";"";"";"";"";"59"
"2024-08-08T14:35:21.844-03:00";"2024-08-08T14:51:09.108-03:00";"2024-08-08";"rmeoniz";"collect:As46bOaSjhgq0UrC";"add789d0";"1";"215";"1105845";"3";"";"";"";"";"";"";"";"";"";"";"";"montes_de_oca_manuel_av";"1601";"barracas";"4";"3";"2";"2";"";"";"";"";"";"60"
"2024-08-08T15:02:57.242-03:00";"2024-08-08T16:02:34.966-03:00";"2024-08-08";"rmeoniz";"collect:As46bOaSjhgq0UrC";"cd2655d9";"1";"215";"425777";"3";"";"";"";"";"";"";"";"";"";"";"";"ayacucho";"0";"recoleta";"4";"1";"";"";"";"";"";"";"";"61"
"2024-08-08T18:27:08.199-03:00";"2024-08-08T18:31:17.507-03:00";"2024-08-08";"";"collect:LzalQ0ls7cdzAe8E";"061864c0";"1";"243";"1106030";"3";"";"";"";"";"";"";"";"";"";"";"";"florida";"601";"retiro";"1";"3";"2";"2";"";"";"";"";"";"62"
"2024-08-08T19:28:07.683-03:00";"2024-08-08T19:33:00.901-03:00";"2024-08-08";"abejarano";"collect:tdRoY3cFiqR6AWAG";"45576240";"1";"131";"1105280";"1";"-34.6088412 -58.4290935 35.39999771118164 4.933";"-34.6088412";"-58.4290935";"35.39999771118164";"4.933";"";"";"";"";"";"";"diaz_velez_av";"0";"caballito";"5";"3";"2";"2";"";"";"";"";"";"63"
"2024-08-08T20:06:37.647-03:00";"2024-08-08T20:18:18.162-03:00";"2024-08-08";"dlucero";"collect:LzalQ0ls7cdzAe8E";"90979a0a";"4";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64"
"2024-08-08T20:08:31.882-03:00";"2024-08-08T20:25:03.226-03:00";"2024-08-08";"gdiaz";"collect:LIrbEA8kk24qA8f2";"69945dff";"1";"171";"1106072";"1";"-34.5851297 -58.414063 32.39999771118164 12.027";"-34.5851297";"-58.414063";"32.39999771118164";"12.027";"1";"2";"1";"";"";"";"arenales";"0";"palermo";"14";"1";"";"";"1";"1";"1";"2";"2";"65"
"2024-08-08T20:18:36.132-03:00";"2024-08-08T20:28:14.367-03:00";"2024-08-08";"abejarano";"collect:tdRoY3cFiqR6AWAG";"1515f13d";"1";"131";"1106142";"1";"";"";"";"";"";"1";"2";"2";"";"";"";"gibson";"0";"boedo";"5";"1";"";"";"1";"1";"2";"2";"2";"66"
"2024-08-08T20:35:57.221-03:00";"2024-08-08T20:46:20.723-03:00";"2024-08-08";"dlucero";"collect:LzalQ0ls7cdzAe8E";"4ca80b15";"4";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67"
"2024-08-08T20:44:25.503-03:00";"2024-08-08T20:48:39.599-03:00";"2024-08-08";"gdiaz";"collect:LIrbEA8kk24qA8f2";"bad8dafc";"1";"171";"1106192";"1";"-34.5802573 -58.4252511 27.5 6.08";"-34.5802573";"-58.4252511";"27.5";"6.08";"1";"2";"1";"";"";"";"guemes";"0";"palermo";"14";"1";"";"";"1";"1";"1";"1";"2";"68"
